package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,column_1,,empty,0,,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,column_2,,empty,0,,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,column_3,,mixed_numeric_text,6,1995 | FEMALE | MALE | 1990,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,column_4,,text,8,NON WORKER | WORKER,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,column_5,,mixed_numeric_text,12,HOME | MEAN | 1172.251 | 944.2046 | 1170.899,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,column_6,,mixed_numeric_text,10,STD DEV | 185.9133 | 225.5581 | 199.9176 | 233.4691,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,"DURATION BY ACTIVITY , WORK STATUS AND GENDER FOR 1990 & 1995",,mixed_numeric_text,12,WORK | MEAN | 0 | 313.027 | 364.5115,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,column_8,,mixed_numeric_text,10,STD DEV | 0 | 249.4606 | 261.5437 | 357.3908,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,column_9,,mixed_numeric_text,12,SHOP | MEAN | 42.15896 | 24.69628 | 30.325,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
paper-2002-03,Road Capacity And The Allocation Of Time,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2002-03-road-capacity-and-the-allocation-of-time,data/derived_workbooks/modernized/TT95.xlsx,Sheet1,column_10,,mixed_numeric_text,10,STD DEV | 63.57838 | 48.70339 | 54.56356 | 36.65966,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 13 non-empty rows from worksheet.
