file,size_bytes,nonblank_lines,first_nonblank_line,selected_data_io_lines
102100.do,7088,126,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:ntrip95.dta"""
1995.do,2331,84,"use "":Macintosh HD:Desktop Folder:Paper:data95.dta""","use "":Macintosh HD:Desktop Folder:Paper:data95.dta"""
90reg.do,9576,8,tt1hat90=s1*1.516525+s2*6.526401-s3*8.806164+s4*3.100659+s5*5.674428+s6*0.7131228-s7*1.454355-s8*0.1297236+s9*3.417299+s10*4.099473-s11*1.40678-s12*0.695457+s13*3.507866-s14*4.9351,
Untitled.do,684,4,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:r-sq-per95.dta"""
age.do,953,36,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:age1995.dta"""
age_result.do,6433,137,"use "":Macintosh HD:Desktop Folder:paper:age1995.dta""","use "":Macintosh HD:Desktop Folder:paper:age1995.dta"""
class_age.do,2231,84,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:data1995.dta"""
collapse.do,192,2,"use "":Macintosh HD:Desktop Folder:paper:tthat95.dta""","use "":Macintosh HD:Desktop Folder:paper:tthat95.dta"""
collapse90.do,125,2,"use "":Macintosh HD:Desktop Folder:paper:sol90.dta""","use "":Macintosh HD:Desktop Folder:paper:sol90.dta"""
compare95.do,1761,66,"use "":Macintosh HD:Desktop Folder:paper:compare95.dta""","use "":Macintosh HD:Desktop Folder:paper:compare95.dta"""
cong90.do,17797,206,set matsize 800,"use "":Macintosh HD:Desktop Folder:Paper:sol90.dta"""
cong95.do,1399,55,"use "":Macintosh HD:Desktop Folder:Paper:data95.dta""","use "":Macintosh HD:Desktop Folder:Paper:data95.dta"""
congworkers.do,189,3,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:nonworkcong.dta"""
dobeh95.do,2383,35,"use "":Macintosh HD:Desktop Folder:paper:beh1995.dta""","use "":Macintosh HD:Desktop Folder:paper:beh1995.dta"""
dummcong90.do,17249,199,set matsize 800,"use "":Macintosh HD:Desktop Folder:Paper:vimp90.dta"""
dummcong95.do,22855,239,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:sol95.dta"""
