file,size_bytes,nonblank_lines,first_nonblank_line,selected_data_io_lines
first_instru.do,4046,3,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:first_instru.dta"""
hwy9095.do,1514,46,"use "":Macintosh HD:Desktop Folder:paper:hwy9095.dta""","use "":Macintosh HD:Desktop Folder:paper:hwy9095.dta"""
inst.do,6225,4,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:instru.dta"""
intrust.do,7443,16,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:instru.dta"""
intrust1.do,8031,16,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:instru.dta"""
just.do,694,4,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:instru.dta"""
model.do,954,17,"/* Using ""collapse"" to aggregate to the State LEVEL using the following command */","use "":Macintosh HD:Desktop Folder:paper:tthat_final.dta"""
model1.do,3534,18,"/* Using ""collapse"" to aggregate to the State LEVEL using the following command */","use "":Macintosh HD:Desktop Folder:paper:model1.dta"""
model2.do,592,15,"use "":Macintosh HD:Desktop Folder:paper:model2.dta""","use "":Macintosh HD:Desktop Folder:paper:model2.dta"""
model_cong.do,1621,21,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:congtthat9095.dta"""
modelcong9095.do,6829,19,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:tticongdelay.dta"""
modst2.do,946,17,"/* Using ""collapse"" to aggregate to the State LEVEL using the following command */","use "":Macintosh HD:Desktop Folder:paper:modst2.dta"""
nonworkcong.do,714,16,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:nonworkcong.dta"""
ntrip95.do,723,33,"use "":Macintosh HD:Desktop Folder:paper:vvimp95.dta""","use "":Macintosh HD:Desktop Folder:paper:vvimp95.dta"""
nwrk90.do,6784,201,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:nwrk90.dta"""
pap2_1995.do,18399,221,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:sol95.dta"""
paper2.do,11390,200,set matsize 800,"use "":Macintosh HD:Desktop Folder:Paper:sol90.dta"""
paper95.do,17438,215,set matsize 800,"use "":Macintosh HD:Desktop Folder:Paper:sol95.dta"""
r-sq-1995.do,1479,53,"use "":Macintosh HD:Desktop Folder:Paper:data95.dta""","use "":Macintosh HD:Desktop Folder:Paper:data95.dta"""
r-sq-dumm95.do,20655,266,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:r-sq-person95.dta"""
r-sq-final.do,1804,6,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:r-sq-per95.dta"""
r-sq-regress95-test.do,8145,60,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:r-sq-regress95-test1.dta"""
regress-r-sq-95.do,6216,29,"use "":Macintosh HD:Desktop Folder:paper:r-sq-per95.dta""","use "":Macintosh HD:Desktop Folder:paper:r-sq-per95.dta"""
regress-r-sq.do,3651,17,"use "":Macintosh HD:Desktop Folder:paper:r-sq-regress95.dta""","use "":Macintosh HD:Desktop Folder:paper:r-sq-regress95.dta"""
state90.do,13011,134,set matsize 800,"use "":Macintosh HD:Desktop Folder:Paper:sol90.dta"""
state95.do,13531,155,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:sol95.dta"""
sum95.do,803,17,"use "":Macintosh HD:Desktop Folder:paper:sol90.dta""","use "":Macintosh HD:Desktop Folder:paper:sol90.dta"""
test.do,951,36,"use "":Macintosh HD:Desktop Folder:paper:test.dta""","use "":Macintosh HD:Desktop Folder:paper:test.dta"""
test1.do,2471,11,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:r-sq-regress95-test1.dta"""
test90.do,1429,2,"use "":Macintosh HD:Desktop Folder:Paper:that9095.dta""","use "":Macintosh HD:Desktop Folder:Paper:that9095.dta"""
test_instru.do,4318,18,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:instru.dta"""
testbts95.do,466,11,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:testbts95.dta"""
tthat90.do,4220,144,set matsize 800,"use "":Macintosh HD:Desktop Folder:Paper:sol95.dta"""
tthat95.do,20625,183,set matsize 800,"use "":Macintosh HD:Desktop Folder:Paper:sol95.dta"""
workercong.do,825,16,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:workercong.dta"""
wrk90.do,7810,201,set matsize 800,"use "":Macintosh HD:Desktop Folder:paper:wrk90.dta"""
